dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.000168,2.000000,0.000198,0.019767,0.988372,49.418605,0.000000
0.020000,21.000958,2.000000,0.000988,0.059302,1.976744,49.418605,0.000000
0.020000,21.002540,2.000000,0.002570,0.098837,1.976744,0.000000,0.000000
0.020000,21.004912,2.000000,0.004942,0.138372,1.976744,0.000000,0.000000
0.020000,21.008075,2.000000,0.008105,0.177907,1.976744,-0.000000,0.000000
0.020000,21.012028,2.000000,0.012058,0.217442,1.976744,0.000000,0.000000
0.020000,21.016772,2.000000,0.016802,0.256977,1.976744,-0.000000,0.000000
0.020000,21.022307,2.000000,0.022337,0.296512,1.976744,0.000000,0.000000
0.020000,21.028633,2.000000,0.028663,0.336047,1.976744,-0.000000,0.000000
0.020000,21.035749,2.000000,0.035779,0.375581,1.976744,0.000000,0.000000
0.020000,21.043656,2.000000,0.043686,0.415116,1.976744,-0.000000,0.000000
0.020000,21.052354,2.000000,0.052384,0.454651,1.976744,0.000000,0.000000
0.020000,21.061842,2.000000,0.061872,0.494186,1.976744,0.000000,0.000000
0.020000,21.072121,2.000000,0.072151,0.533721,1.976744,0.000000,0.000000
0.020000,21.083191,2.000000,0.083221,0.573256,1.976744,-0.000000,0.000000
0.020000,21.095051,2.000000,0.095081,0.612791,1.976744,0.000000,0.000000
0.020000,21.107703,2.000000,0.107733,0.652326,1.976744,0.000000,0.000000
0.020000,21.121144,2.000000,0.121174,0.691860,1.976744,0.000000,0.000000
0.020000,21.135377,2.000000,0.135407,0.731395,1.976744,-0.000000,0.000000
0.020000,21.150400,2.000000,0.150430,0.770930,1.976744,0.000000,0.000000
0.020000,21.166214,2.000000,0.166244,0.810465,1.976744,0.000000,0.000000
0.020000,21.182819,2.000000,0.182849,0.850000,1.976744,-0.000000,0.000000
0.020000,21.200214,2.000000,0.200244,0.889535,1.976744,0.000000,0.000000
0.020000,21.218400,2.000000,0.218430,0.929070,1.976744,-0.000000,0.000000
0.020000,21.237377,2.000000,0.237407,0.968605,1.976744,0.000000,0.000000
0.020000,21.257144,2.000000,0.257174,1.008140,1.976744,0.000000,0.000000
0.020000,21.277703,2.000000,0.277733,1.047674,1.976744,-0.000000,0.000000
0.020000,21.299051,2.000000,0.299081,1.087209,1.976744,0.000000,0.000000
0.020000,21.321191,2.000000,0.321221,1.126744,1.976744,0.000000,0.000000
0.020000,21.344121,2.000000,0.344151,1.166279,1.976744,0.000000,0.000000
0.020000,21.367842,2.000000,0.367872,1.205814,1.976744,-0.000000,0.000000
0.020000,21.392354,2.000000,0.392384,1.245349,1.976744,0.000000,0.000000
0.020000,21.417656,2.000000,0.417686,1.284884,1.976744,0.000000,0.000000
0.020000,21.443749,2.000000,0.443779,1.324419,1.976744,-0.000000,0.000000
